"Εταιρεία H-ID"	"Εταιρεία Record Title"	"Ονομα εταιρείας"	Κλάδοι	"Τύπος υποδομών"	Αντικείμενο	Ιστοσελίδα	"Στοιχεία Επικοινωνίας"	"Εταιρείες ομίλου (Εταιρεία) H-ID"	"Εταιρείες ομίλου (Εταιρεία) Record Title"	Κερδοφορία	"Τίτλος είδησης"	"Url Είδησης"	"Σημειώσεις εταιρείες"
306	ΚΟΥΡΕΛΛΑΣ	ΚΟΥΡΕΛΛΑΣ	"Σούπερ μάρκετ - Τρόφιμα"		"Βιολογικά γαλακτοκομικά κτλ"	https://kourellas.com/el/eat-like-a-greek/the-mediterranean-diet/							"Η ΚΟΥΡΕΛΛΑΣ παράγει απολαυστικά ελληνικά γαλακτοκομικά προϊόντα από το 1960. Το 1996, δημιούργησε τα πρώτα βιολογικά γαλακτοκομικά προϊόντα στην Ελλάδα. Σήμερα, η βραβευμένη βιολογική της σειρά εξάγεται σε ολόκληρο τον κόσμο, ενώ η εταιρεία έχει βοηθήσει πολλούς αγρότες να ακολουθήσουν το παράδειγμά της.

Παράλληλα, συνδυάζοντας παραδοσιακές συνταγές με τη σύγχρονη τεχνολογία, η εταιρεία ανέπτυξε μια ολόκληρη σειρά από ελληνικά γιαούρτια, γάλατα και χειροποίητα τυριά. Όλα τους φτιαγμένα με λίγα μόνο φυσικά και τοπικά συστατικά."
308	"Cold Sin ΑΕ"	"Cold Sin ΑΕ"	"Σούπερ μάρκετ - Τρόφιμα"		Παγωτά								"Η Cold Sin ΑΕ ιδρύθηκε το 2016 και δραστηριοποιείται στην παραγωγή και διανομή τυποποιημένου παγωτού, επαγγελματικού παγωτού όπως τούρτες, παγωτίνια και σερβιριζόμενο παγωτό. Είναι ο επίσημος εθνικός διανομέας παγωτών της εταιρείας Mars Hellas ΑΕ, επίσημος διανομέας των παγωτών της εταιρείας General Mills AE (Häagen-Dazs) και αποκλειστικός διανομέας των παγωτών της Sammontana SPA για την Ελλάδα και Κύπρο. Επιπλέον, παράγει ποιοτικά παγωτά με το σήμα Cold Sin, ενώ διαθέτει πανελλαδικό δίκτυο, καλύπτοντας την ελληνική επικράτεια με περίπου 15.000 σημεία πώλησης παγωτού."
311	"ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ"	"ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ"	"Σούπερ μάρκετ - Τρόφιμα"		Τρόφιμα								"H ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ δραστηριοποιείται στον κλάδο παραγωγής και εμπορίας τροφίμων, εδώ και περισσότερα από 50 χρόνια. Η προσήλωση στην άριστη ποιότητα και τη μέγιστη ασφάλεια, η υψηλή τεχνογνωσία, καθώς και η έμφαση στη βιώσιμη ανάπτυξη και τον διαρκή εκσυγχρονισμό, καθιστούν την εταιρεία ηγέτιδα στον κλάδο. 

Από την ίδρυσή της μέχρι και σήμερα, η ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ επενδύει συστηματικά στον πρωτογενή τομέα, εστιάζοντας στη βιώσιμη γεωργία, την περιβαλλοντική μέριμνα και την υπεύθυνη επιχειρησιακή λειτουργία. Διαχρονικά, όραμά της παραμένει να προσφέρει στους καταναλωτές ασφαλή και ποιοτικά προϊόντα, συμβάλλοντας στη διαμόρφωση ισορροπημένων διατροφικών προτύπων, με οδηγό τη βιώσιμη ανάπτυξη και έμπνευση την ελληνική διατροφική σοφία."
313	"ΧΑΛΒΑΤΖΗΣ ΜΑΚΕΔΟΝΙΚΗ"	"ΧΑΛΒΑΤΖΗΣ ΜΑΚΕΔΟΝΙΚΗ"											"Η ΧΑΛΒΑΤΖΗΣ ΜΑΚΕΔΟΝΙΚΗ ιδρύθηκε το 1972 και εδρεύει στην περιοχή Ριζό της Σκύδρας, στην Κεντρική Μακεδονία. Πρόκειται για μία επιχείρηση με μακρά και επιτυχημένη παρουσία στον κλάδο της αγροδιατροφής που ασχολείται με την επεξεργασία φρούτων και λαχανικών.

Από την ίδρυσή της μέχρι και σήμερα, η καινοτομία αποτελεί το κλειδί για τη συνεχή ανάπτυξή της. Με αίσθημα ευθύνης στον Έλληνα καταναλωτή και τις ανάγκες του, η εταιρεία λειτουργεί με γνώμονα τη διάδοση της υγιεινής διατροφής, δημιουργώντας νέες τάσεις που ανταποκρίνονται στη σύγχρονη καθημερινότητα."
315	"Μ. Αραμπατζής Α.Β.Ε.Ε.–Ελληνική Ζύμη"	"Μ. Αραμπατζής Α.Β.Ε.Ε.–Ελληνική Ζύμη"	"Σούπερ μάρκετ - Τρόφιμα"		"Προϊόντα κατεψυγμένης ζύμης"								"Η Μ. Αραμπατζής Α.Β.Ε.Ε.–Ελληνική Ζύμη είναι κορυφαία εταιρεία στην αγορά καταψυγμένων προϊόντων ζύμης στην Ελλάδα και μια από τις μεγαλύτερες στην Ευρώπη. Για περισσότερα από 40 χρόνια, δημιουργεί αυθεντικές ελληνικές γεύσεις με ποικιλία ειδών ζύμης από άριστης ποιότητας πρώτες ύλες, συμβάλλοντας στη διαφύλαξη της ελληνικής διατροφικής παράδοσης.

Στα τρία ιδιόκτητα υπερσύγχρονα εργοστάσιά της παράγονται περισσότεροι από 700 κωδικοί για τις αγορές του food service και της λιανικής με επώνυμα προϊόντα (Χρυσή Ζύμη και Ελληνική Ζύμη) καθώς και προϊόντα ιδιωτικής ετικέτας.

Διαθέτει σημαντικό δίκτυο πωλήσεων σε 45 χώρες με κυριότερες αγορές την Ευρώπη, τον Καναδά και τις ΗΠΑ, περισσότερους από 4.500 πελάτες παγκοσμίως και συνεργασίες με τους μεγαλύτερους retailers διεθνώς."
316	"Ομιλος Goody’s-Everest"	"Ομιλος Goody’s-Everest"	"Σούπερ μάρκετ - Τρόφιμα|Εστίαση"					317|319|321|324|326|328|330|332|334|336|338	"Goody’s Burger House|Everest|La Pasteria|FLOCAFE|Olympus Plaza Food Parks|Kuzina|It’s all Grεεk|Forno Luca|Bistro dei Cavalieri|Olympic catering|Hellenic Catering"				"Ο Όμιλος Goody’s-Everest είναι o μεγαλύτερος όμιλος εστίασης στην Ελλάδα.
Έχει αναπτύξει και λειτουργεί μερικά από τα σημαντικότερα σήματα στον κλάδο της εστίασης.

Διαθέτει 5 αλυσίδες εστίασης και μια μεγάλη γκάμα μοναδικών concepts εστίασης,
560+ σημεία πώλησης, 2 παραγωγικές μονάδες και περισσότερους από 5.000
 εργαζόμενους (συμπ. franchise). 

Διατηρεί ηγετική θέση στον τομέα των ταξιδιωτικών υπηρεσιών με παρουσία στην πλειονότητα των ΣΕΑ και επιβατικών πλοίων και περισσότερα από 50 χρόνια εμπειρίας στις υπηρεσίες εστίασης στα αεροδρόμια."
317	"Goody’s Burger House"	"Goody’s Burger House"	Εστίαση			https://www.goodys.com							
319	Everest	Everest	Εστίαση		"Αλυσίδες εστίασης"	https://www.everest.gr/							
321	"La Pasteria"	"La Pasteria"	Εστίαση		"Αλυσίδα ιταλικού φαγητού"	https://www.lapasteria.gr/about/company/							
324	FLOCAFE	FLOCAFE	Εστίαση		Καφές	https://www.flocafe.gr/							
326	"Olympus Plaza Food Parks"	"Olympus Plaza Food Parks"	Εστίαση		"Αλυσίδες εστίασης, ΣΕΑ"								
328	Kuzina	Kuzina	Εστίαση		Εστιατόριο	https://www.kuzina.gr/							
330	"It’s all Grεεk"	"It’s all Grεεk"	Εστίαση		Ψητοπωλείο	https://www.vivartiafoodservices.com/el/unique-foodservice-concepts/it-s-all-greek							
332	"Forno Luca"	"Forno Luca"	Εστίαση		"Εστίαση σε αεροδρόμια"	https://www.vivartiafoodservices.com/el/unique-foodservice-concepts/forno-luca							"Ένα ιταλικό concept με έμφαση στο snacking και τον καφέ ειδικά σχεδιασμένο για την ιδιαίτερα απαιτητική αγορά των αεροδρομίων."
334	"Bistro dei Cavalieri"	"Bistro dei Cavalieri"	Εστίαση		"Εστίαση για αεροδρόμια και εμπορικά κέντρα"	https://www.vivartiafoodservices.com/el/unique-foodservice-concepts/bistro-dei-cavalieri							"Αυθεντικό Ιταλικό μπιστρό το οποίο έχει σχεδιαστεί ειδικά για τις ταξιδιωτικές υπηρεσίες, όπως είναι τα αεροδρόμια και τα εμπορικά κέντρα."
336	"Olympic catering"	"Olympic catering"	Εστίαση		"Παραγωγή και Διανομή Φαγητού"	https://www.olympic-catering.gr/							"Η Olympic Catering A.E είναι μια εταιρία του Ομίλου Goody’s-Everest Group, ο οποίος ανήκει στη Vivartia, τον ηγετικό Όμιλο στην αγορά τροφίμων και ποτών. H Olympic Catering ιδρύθηκε τη δεκαετία του 1970, με πρωταρχικό σκοπό να καλύψει το δύσκολο και απαιτητικό έργο της αεροτροφοδοσίας και του ramp handling της ιστορικής Ολυμπιακής Αεροπορίας. To 2002 εξαγοράστηκε από τον Όμιλο everest, ο οποίος από το 2008 αποτελεί μέλος του Ομίλου Vivartia."
338	"Hellenic Catering"	"Hellenic Catering"	Εστίαση		"Παραγωγή & Διανομή Φαγητού"	https://helleniccatering.gr/	"Έδρα
Διεύθυνση:
1η – ΒΙ.ΠΕ.Θ., 570 22 Σίνδος – Θεσσαλονίκη
	
Τηλ. επικοινωνίας:
2310 790700
	
Fax:
2310 797951
***
Υποκ/μα 1
Διεύθυνση:
Πλουτάρχου – θέση Βακαλόπουλου, 153 51 Παλλήνη Αττικής
	
Τηλ. επικοινωνίας:
210 6669074- 6
	
Fax:
210 6669478"						"Η Hellenic Catering αποτελεί το βιομηχανικό βραχίονα του Ομίλου Goody’s-Everest, του Κλάδου Εστίασης του του Ομίλου Vivartia.

Mε παρουσία πλέον των 40 ετών στην Ελληνική αγορά, η εταιρία διαθέτει 2 σύγχρονες μονάδες παραγωγής στην Αττική και στη Θεσσαλονίκη, με εξειδίκευση στην παραγωγή κρεατοσκευασμάτων, κατεψυγμένων και chilled γευμάτων, σαλατών & dressings, γλυκών και αρτοσκευασμάτων."
340	"Hellenic Instruments"	"Hellenic Instruments"	"Πολεμική Βιομηχανία"			https://sekpy.gr/en/companies/hellenic-instruments-2/	"Company Name: HELLENIC INSTRUMENTS P.C.
Category: Armament, Ammunition, Explosives and Related Services, Companies, Machinery, Mechanical components, Materials and Structures, Naval Platforms and Related Systems/Services
Address: 3rd km Koropiou-Varis, 19400, Koropi, Greece
Email: administration@hellenicinstruments.com
Telephone:210 6021630
https://www.hellenicinstruments.com/"						"Εχει φτιάξει τα ηχοβόλα που έχουν σταλεί στον Εβρο"
342	THEON	THEON	"Πολεμική Βιομηχανία"			https://theon.com/	"Address:

5, Agios Antonios str.
Muskita Building 2,
1st floor, Office/Apart.102
2002 Nicosia, Cyprus
Phone: +357 22770740
Email: info@theon.com


Address:

57, Ioannou Metaxa str.,
Koropi, GR-19441,
Greece
2002 Nicosia, Cyprus
Phone: +357 22770740
GEMI No. 002502801000"			"€218.7 m Revenues in 2023 (σύμφωνα με την ιστοσελίδα της)"	"Μια ελληνική εταιρεία, η THEON, συμμετέχει στον «Στρατιώτη του Μέλλοντος»"	https://www.ieidiseis.gr/ellada/448652/mia-elliniki-etaireia-i-theon-symmetechei-ston-stratioti-toy-mellontos/	"Το γερμανικό κοινοβούλιο στις 29 Ιανουαρίου 2025 ενέκρινε την προμήθεια του ελληνικού συστήματος IdZ, με την συνεργαζόμενη της ελληνικής εταιρείας, Rheinmetall Electronics GmbH.

Το γερμανικό πρόγραμμα «Στρατιώτης του Μέλλοντος» (IdZ) θα βασίζεται στο σύστημα απεικόνισης τακτικής κατάστασης πεδίου μάχης (Heads-Up Display) της ελληνικής TΗΕΟΝ Sensors!"
348	"Βιοχάλκο - Viohalco S.A"	"Βιοχάλκο - Viohalco S.A"	"Πολεμική Βιομηχανία|Βιομηχανία|Μέταλλο"		"Η Viohalco S.A. είναι εταιρία συμμετοχών (holding) σε κορυφαίες βιομηχανικές εταιρίες επεξεργασίας μετάλλων στην Ευρώπη. Με έδρα στο Βέλγιο είναι εισηγμένη στο Χρηματιστήριο Euronext Βρυξελλών (Νοέμβριος 2013) και στο Χρηματιστήριο Αθηνών (Φεβρουάριος 2014)."	https://www.viohalco.com/index.php?Language=el	"Viohalco Headquarters
Viohalco S.A.
30 Marnix Avenue, 1000 Brussels, Belgium

Tel.: (+32) 2 224 09 11

info@viohalco.com

www.viohalco.com

Viohalco S.A. - Ελληνικό Υποκατάστημα
Χειμάρας 16, 151 25 Μαρούσι, Αθήνα

Τηλ.: (+30) 210 6861111

info@viohalco.com

www.viohalco.com"	350|361	"Cenergy Holdings|ΕΛΒΑΛΧΑΛΚΟΡ Ελληνική Βιομηχανία Χαλκού και Αλουμινίου Ανώνυμος Εταιρεία (ElvalHalcor)"	"Οι εταιρίες της Viohalco δημιουργούν ετήσιο κύκλο εργασιών 6,6 δισ. ευρώ (2024), διαθέτοντας κύριες παραγωγικές εγκαταστάσεις σε 8 χώρες και πωλήσεις σε περίπου 100 χώρες"	"Σε θέση μάχης η ελληνική αμυντική βιομηχανία"	https://www.kathimerini.gr/economy/563582404/se-thesi-machis-i-elliniki-amyntiki-viomichania/	"Η Viohalco S.A. είναι εταιρία συμμετοχών (holding) σε κορυφαίες βιομηχανικές εταιρίες επεξεργασίας μετάλλων στην Ευρώπη. Με έδρα στο Βέλγιο είναι εισηγμένη στο Χρηματιστήριο Euronext Βρυξελλών (Νοέμβριος 2013) και στο Χρηματιστήριο Αθηνών (Φεβρουάριος 2014).
Οι εταιρίες της Viohalco δημιουργούν ετήσιο κύκλο εργασιών 6,6 δισ. ευρώ (2024), διαθέτοντας κύριες παραγωγικές ////εγκαταστάσεις σε 8 χώρες και πωλήσεις σε περίπου 100 χώρες
****
Ιδιαίτερο ενδιαφέρον έχει το ""ερευνητικό έργο"": βλέπε https://www.viohalco.com/800/el/RandD-kai-texnologia/
***
🔩 1. Μεταλλουργία – Χαλκός και Κράματα
ElvalHalcor S.A. – Μία από τις μεγαλύτερες βιομηχανίες έλασης αλουμινίου και χαλκού στην Ευρώπη.

Περιλαμβάνει μονάδες όπως:

Elval (αλουμίνιο)

Halcor (χαλκός & σωλήνες χαλκού)

Fitco

Sofia Med (Βουλγαρία)

🔌 2. Ενέργεια & Τηλεπικοινωνίες (μέσω της Cenergy Holdings)
Cenergy Holdings S.A.

Hellenic Cables S.A. – Καλώδια υψηλής και υπερυψηλής τάσης, υποβρύχια καλώδια.

Corinth Pipeworks S.A. – Βιομηχανία σωλήνων για πετρέλαιο, φυσικό αέριο και αγωγούς.

🏗️ 3. Χάλυβας & Κατασκευές
Sidenor S.A. – Εταιρεία παραγωγής προϊόντων χάλυβα (δομικά, μηχανικά κ.λπ.)

Περιλαμβάνει τις:

Sovel (παραγωγή χάλυβα)

Eralp, Erasteel, Prometal κ.ά.

Stomana Industry (Βουλγαρία) – Βιομηχανία χάλυβα

🏢 4. Τεχνολογία Αλουμινίου & Συστήματα Δομής
ETEM – Συστήματα αλουμινίου για αρχιτεκτονικές και βιομηχανικές εφαρμογές.

🛠️ 5. Μηχανήματα & Εξειδικευμένος Εξοπλισμός
Etem Bulgaria

Steelmet Group – Παρέχει βιομηχανικές υπηρεσίες (συμβουλευτική, logistics, R&D).

📊 6. Άλλες Θυγατρικές και Δραστηριότητες
Metal Agencies (Ηνωμένο Βασίλειο) – Εμπορία μετάλλων"
350	"Cenergy Holdings"	"Cenergy Holdings"	Ενέργεια|Μέταλλο|Βιομηχανία|Τηλεπικοινωνίες	"Δίκτυα Ενέργειας|Δίκτυα δεδομένων"	"μεταφοράς ενέργειας, ανανεώσιμων πηγών ενέργειας και μετάδοσης δεδομένων"	https://cenergyholdings.com/	"pin icon
Αμαρουσίου – Χαλανδρίου 33
151 25 Μαρούσι, Αττική, Ελλάδα
mail envelope icon
ir@cenergyholdings.com
telephone icon
(+30) 2106787111
fax icon
(+30) 2106787406"	355|356	"Σωληνουργεία Κορίνθου|Hellenic Cables"				"Η Cenergy Holdings είναι μια Βελγική εταιρεία συμμετοχών εισηγμένη τόσο στο Χρηματιστήριο των Βρυξελλών όσο και στο Χρηματιστήριο των Αθηνών, επενδύοντας σε κορυφαίες βιομηχανικές εταιρείες, εστιάζοντας στην αυξανόμενη παγκόσμια ζήτηση μεταφοράς ενέργειας, ανανεώσιμων πηγών ενέργειας και μετάδοσης δεδομένων. Το χαρτοφυλάκιο της Cenergy Holdings αποτελείται από την Σωληνουργεία Κορίνθου και την Hellenic Cables, εταιρείες που βρίσκονται στην πρώτη γραμμή των αντίστοιχων τομέων ανάπτυξης.
***
Η Cenergy Holdings, με έδρα το Βέλγιο, ιδρύθηκε το 2016 και είναι εισηγμένη στο Euronext Brussels και στο Χρηματιστήριο Αθηνών (Athex). Η Εταιρία εστιάζει στη μακροπρόθεσμη δημιουργία προστιθέμενης αξίας, επενδύει σε κορυφαίες βιομηχανικές εταιρείες και εστιάζει στην αυξανόμενη παγκόσμια ζήτηση για μεταφορά ενέργειας, ανανεώσιμες πηγές και μεταφορά δεδομένων.

Η εταιρεία επενδύει σε βιομηχανικές εταιρείες που δραστηριοποιούνται σε δυναμικές και αναπτυσσόμενες αγορές όπως αυτές της ενέργειας και των τηλεπικοινωνιών.

Η Cenergy Holdings είναι θυγατρική της Viohalco S.A., μιας εταιρείας χαρτοφυλακίου κορυφαίων εταιρειών επεξεργασίας μετάλλων σε όλη την Ευρώπη. Οι θυγατρικές της Viohalco ειδικεύονται στην κατασκευή προϊόντων αλουμινίου, χαλκού και χάλυβα, σωλήνων χάλυβα και καλωδίων, καθώς και άλλων τεχνολογικά προηγμένων βιομηχανικών εφαρμογών. Έχουν εγκαταστάσεις παραγωγής σε Ελλάδα, Βουλγαρία, Ρουμανία, Ηνωμένο Βασίλειο, Βόρεια Μακεδονία, Ρωσία και Τουρκία."
355	"Σωληνουργεία Κορίνθου"	"Σωληνουργεία Κορίνθου"	"Μέταλλο|Πολεμική Βιομηχανία"	"Δίκτυα Ενέργειας"	"Η Σωληνουργεία Κορίνθου είναι παγκόσμιος ηγέτης στην κατασκευή σωλήνων χάλυβα για τον κλάδο της ενέργειας και σημαντικός παραγωγός κοιλοδοκών χάλυβα για τον κατασκευαστικό κλάδο."	https://cenergyholdings.com/el/corinth-pipeworks/				"Επενδύσεις 250 εκατομμύρια ευρώ από το 2012|πάνω από 750 εργαζόμενους|63 εκατομμύρια κέρδη το 2024 προ φόρων"			"Η Σωληνουργεία Κορίνθου είναι ένας από τους κορυφαίους κατασκευαστές σωλήνων χάλυβα και κοίλων δοκών, παγκοσμίως, για τους τομείς της ενέργειας και των κατασκευών. Με μια επιτυχημένη πορεία και εμπειρία πάνω από μισό αιώνα, έχει υλοποιήσει πολύ απαιτητικά έργα με κορυφαίες εταιρείες ενέργειας παγκοσμίως.
Οι σωλήνες χάλυβα που έχει κατασκευάσει η εταιρεία, τα τελευταία 15 χρόνια, μπορούν να καλύψουν περισσότερο από το μισό περίμετρο της Γης.
Με εμπειρία πάνω από μισό αιώνα, η Σωληνουργεία Κορίνθου έχει συνεργαστεί με μεγάλες εταιρείες ενέργειας σε όλο τον κόσμο, σε εξαιρετικά απαιτητικά έργα. Η πελατοκεντρική φιλοσοφία της Εταιρείας έχει επιφέρει ισχυρές, μακροπρόθεσμες και αμοιβαία επωφελείς σχέσεις, ενισχύοντας τη γεωγραφική της παρουσία.
Η Εταιρεία κατασκευάζει μία από τις πιο ολοκληρωμένες γκάμες προϊόντων παγκοσμίως και προσφέρει ολοκληρωμένες λύσεις, οι οποίες βασίζονται σε επενδύσεις σε νέες τεχνολογίες και στη συνεχή βελτίωση των παραγωγικών διαδικασιών της. Οι πελάτες ξεχωρίζουν τη Σωληνουργεία Κορίνθου, για την τεχνολογική υπεροχή, την ευελιξία, την παροχή οικονομικά βέλτιστων λύσεων και τη συνολικά υψηλή απόδοσή της, όπως επιβεβαιώνεται κάθε χρόνο από τους δείκτες ικανοποίησης των πελατών. 
////
Υποθαλάσσιοι αγωγοί μεγάλου βάθους υψηλών προδιαγραφών

Απαιτητικοί χερσαίοι αγωγοί μεταφοράς φυσικού αερίου

Σωλήνες μεταφοράς υδρογόνου

Εξειδικευμένες κοίλες διατομές χάλυβα ειδικών προδιαγραφών"
356	"Hellenic Cables"	"Hellenic Cables"	Ενέργεια|Τηλεπικοινωνίες		Καλώδια	https://cenergyholdings.com/el/hellenic-cables/	"Αμαρουσίου – Χαλανδρίου 33
151 25 Μαρούσι, Αττική, Ελλάδα
mail envelope icon
ir@cenergyholdings.com
telephone icon
(+30) 2106787111
fax icon
(+30) 2106787406"			"494 Eκατ. ευρώ σε επενδύσεις τα τελευταία πέντε χρόνια|5 Eργοστάσια παραγωγής καλωδίων σε 3 χώρες|>2.850 Eργαζόμενοι"			"Με 70 χρόνια επιτυχημένης πορείας στην κατασκευή καλωδίων, η Hellenic Cables αναγνωρίζεται σήμερα ως μία από τις κορυφαίες εταιρείες μεταφοράς και διανομής ενέργειας στην Ευρώπη, ανανεώσιμων πηγών ενέργειας και υπεράκτιων δικτύων αιολικής ενέργειας, δικτύων τηλεπικοινωνίας και δεδομένων, κατασκευών και βιομηχανίας.

 

Η Εταιρεία διακρίνεται για τον έντονο εξαγωγικό της προσανατολισμό και τη δημιουργία μακροπρόθεσμων συνεργασιών και δεσμών με σημαντικούς οργανισμούς στη Δανία, τη Σουηδία, το Βέλγιο, τη Γερμανία, τις Κάτω Χώρες, τον Καναδά και το Ηνωμένο Βασίλειο. Κατασκευάζει καλώδια ενέργειας και τηλεπικοινωνιών για διάφορους τομείς όπως η μεταφορά και διανομή ηλεκτρικής ενέργειας, οι ανανεώσιμες πηγές ενέργειας, η βιομηχανία πετρελαίου και φυσικού αερίου, οι τηλεπικοινωνίες, οι κατασκευές και οι υποδομές.

 

Οι τεχνικές γνώσεις συνδυάζονται με συνεχή επένδυση σε υπερσύγχρονα μηχανήματα για να διασφαλιστεί ότι τα επίπεδα απόδοσης και ποιότητας πληρούν τα υψηλότερα πρότυπα.

 Η Hellenic Cables διαθέτει τέσσερα εργοστάσια παραγωγής καλωδίων στη Θήβα, τον Ελεώνα και στην Κόρινθο (Ελλάδα) και στο Βουκουρέστι (Ρουμανία), και δύο βοηθητικά εργοστάσια παραγωγής στα Οινόφυτα (Ελλάδα) στο Blagoevgrad (Βουλγαρία). Η μονάδα παραγωγής Κορίνθου είναι ένα από τα μεγαλύτερα και πιο προηγμένα εργοστάσια υποβρυχίων καλωδίων στον κόσμο.
Η Hellenic Cables δίνει μεγάλη έμφαση στην ανάπτυξη των ανθρώπων της και στη δημιουργία αξίας για τους συμμετόχους, τους συνεργάτες και τις τοπικές κοινωνίες στις οποίες δραστηριοποιείται.
Η Εταιρία εστιάζει ιδιαίτερα στην ανάπτυξη των ανθρώπων της και στη δημιουργία αξίας για τους συμμετόχους, τους συνεργάτες και τις τοπικές κοινωνίες όπου δραστηριοποιείται.

Με το βλέμμα στο μέλλον, σχεδιάζει περαιτέρω επενδύσεις σε τεχνολογικές και καινοτόμες λύσεις καλωδίων, έτσι ώστε να συνεισφέρει στη δημιουργία ενός βιώσιμου μέλλοντος για τους συμμετόχους της."
359	ΧΑΛΚΟΡ	ΧΑΛΚΟΡ	Μέταλλο|Βιομηχανία		"παραγωγή, τη μεταποίηση και την εμπορία προϊόντων χαλκού και κραμάτων χαλκού"	https://halcor.com/el/about-us/profile/							"H ΧΑΛΚΟΡ είναι ο τομέας διέλασης χαλκού & κραμάτων της ElvalHalcor και μαζί με τρεις ακόμα εταιρίες συγκροτούν τον κλάδο χαλκού της ElvalHalcor που ειδικεύεται στην παραγωγή, τη μεταποίηση και την εμπορία προϊόντων χαλκού και κραμάτων χαλκού με δυναμική εμπορική παρουσία στην ευρωπαϊκή και παγκόσμια αγορά. Για περισσότερα από 80 χρόνια, η ΧΑΛΚΟΡ προσφέρει καινοτόμες και προστιθέμενης αξίας λύσεις που ανταποκρίνονται στις σύγχρονες απαιτήσεις των πελατών σε τομείς όπως υδραυλικά, HVAC & R, ανανεώσιμες πηγές ενέργειας, αρχιτεκτονική, μηχανική και βιομηχανική παραγωγή.

Ο κλάδος χαλκού της ElvalHalcor αποτελείται από τρεις θυγατρικές και δύο συνεργάτες / κοινοπραξίες με έδρα την Ελλάδα, το Βέλγιο, τη Βουλγαρία, τη Ρουμανία και την Τουρκία, ενώ διαθέτει συνολικά οκτώ μονάδες παραγωγής στην Ελλάδα, τη Βουλγαρία και την Τουρκία. Ο κλάδος χαλκού της ElvalHalcor αναπτύσσει και διανέμει ένα ευρύ φάσμα προϊόντων, συμπεριλαμβανομένων προϊόντων χαλκού και κράματος χαλκού και προϊόντων εξώθησης, ενώ η ΧΑΛΚΟΡ είναι ο μόνος παραγωγός σωλήνων χαλκού στην Ελλάδα."
360	Elval	Elval	Μέταλλο		"Η Elval αποτελεί τον τομέα έλασης αλουμινίου της ElvalHalcor Α.Ε. (ELHA:ATH)"	https://www.elval.com/el/about-elval							"Σχετικά με την Elval
Η Elval αποτελεί τον τομέα έλασης αλουμινίου της ElvalHalcor Α.Ε. (ELHA:ATH), της κορυφαίας βιομηχανίας αλουμινίου και χαλκού παγκοσμίως με ισχυρή παραγωγική βάση 15 εργοστασιακών μονάδων, τεχνολογία αιχμής και σταθερή παρουσία σε περισσότερες από 90 χώρες.
 
Η Elval διαθέτει 50 χρόνια τεχνογνωσίας στην έλαση και στην ανακύκλωση αλουμινίου, σχεδιάζοντας και κατασκευάζοντας καινοτόμες λύσεις, ενώ παράλληλα δημιουργεί αξιόπιστες συνεργασίες σε όλο τον κόσμο. Το εκτεταμένο και εξατομικευμένο χαρτοφυλάκιο προϊόντων εξυπηρετεί τις αγορές συσκευασίας, μεταφορών, αυτοκινητοβιομηχανίας, θέρμανσης-ψύξης-κλιματισμού, δόμησης και κατασκευών, ενέργειας και βιομηχανικών αγορών.
 
Μέσω συνεχών επενδύσεων σε έρευνα, ανάπτυξη, καινοτομία και διαθέτοντας εσωτερικό Κέντρο Τεχνολογίας, επενδύουμε σε ανθρώπινο δυναμικό με υψηλή εξειδίκευση και τεχνογνωσία, στην υπεύθυνη παραγωγή και στην προστασία του περιβάλλοντος, στηρίζοντας τη μετάβαση στην κλιματική ουδετερότητα και τη συμβολή του αλουμινίου στην κυκλική οικονομία."
361	"ΕΛΒΑΛΧΑΛΚΟΡ Ελληνική Βιομηχανία Χαλκού και Αλουμινίου Ανώνυμος Εταιρεία (ElvalHalcor)"	"ΕΛΒΑΛΧΑΛΚΟΡ Ελληνική Βιομηχανία Χαλκού και Αλουμινίου Ανώνυμος Εταιρεία (ElvalHalcor)"	Μέταλλο	"Δίκτυα Ενέργειας"	"παραγωγός διεθνώς στον κλάδο του αλουμινίου και του χαλκού."			360|359	Elval|ΧΑΛΚΟΡ				"Η ΕΛΒΑΛΧΑΛΚΟΡ Ελληνική Βιομηχανία Χαλκού και Αλουμινίου Ανώνυμος Εταιρεία (ElvalHalcor) είναι κορυφαίος βιομηχανικός παραγωγός διεθνώς στον κλάδο του αλουμινίου και του χαλκού.

Η ElvalHalcor συστάθηκε τον Δεκέμβριο του 2017, μέσω της συγχώνευσης της Ελβάλ (Elval) και της Χαλκόρ (Halcor).

Η Εταιρία είναι εισηγμένη στο Χρηματιστήριο Αθηνών (ELHA)."
364	"Sofia Med"	"Sofia Med"	Μέταλλο			http://www.sofiamed.bg/							
